User ID,Age,Course,Topic,Difficulty Level,Video Time (mins),Article Time (mins),Hands-on Time (mins),Quiz Time (mins),Quiz Score (%),Progress (%),Attempts,Detected Learning Style (VARK),Recommended Learning Style
45,18,Java,Regression,Hard,21,13,14,25,99,26,4,Visual,More Videos
46,20,C++,Regression,Hard,31,53,58,8,95,82,3,Kinesthetic,More Hands-On Exercises
47,22,Data Science,Sorting Algorithms,Hard,52,30,41,10,4,9,1,Visual,More Videos
48,23,Java,OOP,Medium,27,38,2,6,21,5,2,Reading/Writing,More Articles
49,23,Data Science,Loops,Medium,13,16,49,18,15,76,2,Kinesthetic,More Hands-On Exercises
50,21,Machine Learning,OOP,Easy,36,22,17,17,27,62,1,Visual,More Videos
51,22,Data Science,Data Visualization,Easy,15,58,11,24,68,99,1,Reading/Writing,More Articles
52,22,Machine Learning,Loops,Hard,50,29,5,10,7,64,4,Visual,More Videos
53,25,C++,OOP,Medium,53,12,45,21,17,68,1,Visual,More Videos
54,18,C++,Regression,Easy,56,49,36,15,46,18,4,Visual,More Videos
55,19,C++,Data Visualization,Easy,59,39,10,9,48,54,5,Visual,More Videos
56,19,Python,Sorting Algorithms,Easy,33,44,54,28,71,79,4,Kinesthetic,More Hands-On Exercises
57,24,Java,Data Visualization,Medium,8,37,6,9,22,69,3,Reading/Writing,More Articles
58,18,C++,Data Visualization,Easy,35,6,41,30,92,61,4,Kinesthetic,More Hands-On Exercises
59,25,Java,Data Visualization,Hard,11,27,12,28,87,54,2,Reading/Writing,More Articles
60,22,Data Science,Regression,Medium,14,43,53,7,68,8,4,Kinesthetic,More Hands-On Exercises
61,25,C++,Sorting Algorithms,Medium,59,40,30,6,50,3,5,Visual,More Videos
62,23,Data Science,Regression,Medium,34,19,2,10,96,88,3,Visual,More Videos
63,25,Python,Loops,Easy,56,41,32,19,37,53,5,Visual,More Videos
64,20,Python,Regression,Medium,40,29,31,21,35,5,5,Visual,More Videos
65,24,Python,Regression,Hard,41,32,18,25,41,93,4,Visual,More Videos
66,20,Data Science,Data Visualization,Hard,51,38,34,22,87,36,3,Visual,More Videos
67,22,C++,Loops,Easy,16,38,57,14,37,24,4,Kinesthetic,More Hands-On Exercises
68,21,Python,Regression,Medium,52,37,33,25,2,57,1,Visual,More Videos
69,25,C++,Loops,Easy,51,17,13,11,5,82,5,Visual,More Videos
70,18,Python,Sorting Algorithms,Easy,50,9,60,22,58,55,4,Kinesthetic,More Hands-On Exercises
71,21,Data Science,Loops,Hard,40,1,44,24,24,81,5,Kinesthetic,More Hands-On Exercises
72,21,Data Science,Sorting Algorithms,Hard,40,24,60,14,72,91,4,Kinesthetic,More Hands-On Exercises
73,23,C++,Sorting Algorithms,Medium,37,3,17,10,42,4,1,Visual,More Videos
74,23,C++,OOP,Hard,44,44,40,9,28,29,5,Visual,More Videos
75,19,C++,Loops,Hard,3,43,46,12,20,84,5,Kinesthetic,More Hands-On Exercises
76,25,Machine Learning,Data Visualization,Medium,42,13,34,13,9,32,4,Visual,More Videos
77,20,Machine Learning,Sorting Algorithms,Medium,29,4,43,5,25,14,3,Kinesthetic,More Hands-On Exercises
78,21,Machine Learning,Sorting Algorithms,Easy,49,21,7,13,58,32,1,Visual,More Videos
79,23,Data Science,Sorting Algorithms,Easy,58,16,33,7,88,93,3,Visual,More Videos
80,18,C++,Sorting Algorithms,Hard,33,16,48,6,68,59,1,Kinesthetic,More Hands-On Exercises
81,21,Java,Data Visualization,Hard,53,37,22,30,25,81,2,Visual,More Videos
82,25,Python,OOP,Hard,39,54,55,19,81,21,5,Kinesthetic,More Hands-On Exercises
83,20,Python,Sorting Algorithms,Medium,3,5,33,18,29,53,3,Kinesthetic,More Hands-On Exercises
84,21,C++,OOP,Easy,3,10,47,20,21,48,3,Kinesthetic,More Hands-On Exercises
85,23,Data Science,Data Visualization,Medium,14,17,2,8,43,47,4,Reading/Writing,More Articles
86,21,Machine Learning,OOP,Medium,44,51,54,18,35,76,4,Kinesthetic,More Hands-On Exercises
87,24,Data Science,Loops,Easy,11,13,21,11,87,30,3,Kinesthetic,More Hands-On Exercises
88,24,Java,OOP,Medium,2,10,53,6,63,81,3,Kinesthetic,More Hands-On Exercises
89,21,Data Science,Regression,Easy,4,55,21,26,51,75,5,Reading/Writing,More Articles
90,24,C++,Sorting Algorithms,Medium,6,31,5,22,65,84,4,Reading/Writing,More Articles
91,22,Data Science,Data Visualization,Medium,49,60,6,18,10,82,4,Reading/Writing,More Articles
92,25,Java,OOP,Easy,60,41,35,9,64,65,1,Visual,More Videos
93,21,Python,OOP,Medium,7,38,39,23,68,83,2,Kinesthetic,More Hands-On Exercises
94,19,Machine Learning,Sorting Algorithms,Easy,57,40,48,20,15,4,2,Visual,More Videos
95,24,Python,Loops,Medium,6,19,53,12,47,100,1,Kinesthetic,More Hands-On Exercises
96,22,Python,OOP,Hard,8,1,13,8,80,29,2,Kinesthetic,More Hands-On Exercises
97,24,Data Science,OOP,Hard,11,33,56,19,60,100,3,Kinesthetic,More Hands-On Exercises
98,25,Data Science,Data Visualization,Medium,33,24,20,30,36,21,2,Visual,More Videos
99,19,Python,Loops,Easy,17,12,21,9,79,17,1,Kinesthetic,More Hands-On Exercises
100,23,C++,Sorting Algorithms,Hard,55,29,41,30,67,80,1,Visual,More Videos
101,20,Data Science,OOP,Easy,11,15,0,8,54,69,3,Reading/Writing,More Articles
102,24,Java,Sorting Algorithms,Medium,49,59,35,10,17,93,2,Reading/Writing,More Articles
103,22,Java,Data Visualization,Hard,15,37,54,27,60,40,3,Kinesthetic,More Hands-On Exercises
104,25,Machine Learning,Loops,Hard,33,28,10,26,60,20,2,Visual,More Videos
105,20,Python,Loops,Easy,53,32,58,10,66,38,4,Kinesthetic,More Hands-On Exercises
106,20,Java,Regression,Medium,8,2,31,8,60,81,1,Kinesthetic,More Hands-On Exercises
107,24,Java,OOP,Medium,29,28,41,17,70,56,2,Kinesthetic,More Hands-On Exercises
108,21,C++,Data Visualization,Hard,27,3,31,16,52,21,1,Kinesthetic,More Hands-On Exercises
109,20,Data Science,OOP,Easy,35,2,29,5,57,27,3,Visual,More Videos
110,22,Java,Regression,Easy,41,44,40,29,47,59,4,Reading/Writing,More Articles
111,19,Python,Regression,Easy,0,17,59,30,86,47,5,Kinesthetic,More Hands-On Exercises
112,22,Python,Sorting Algorithms,Hard,13,47,41,7,2,26,4,Reading/Writing,More Articles
113,21,Java,OOP,Hard,60,6,33,19,62,52,3,Visual,More Videos
114,20,Data Science,Regression,Easy,21,32,45,23,31,64,4,Kinesthetic,More Hands-On Exercises
115,19,Data Science,OOP,Easy,1,51,13,19,13,42,4,Reading/Writing,More Articles
116,22,Python,Data Visualization,Easy,48,28,12,16,49,13,1,Visual,More Videos
117,23,Data Science,Regression,Easy,59,39,41,24,73,36,4,Visual,More Videos
118,25,Data Science,Sorting Algorithms,Easy,8,23,10,19,32,77,2,Reading/Writing,More Articles
119,22,Machine Learning,Regression,Hard,55,20,30,22,72,3,5,Visual,More Videos
120,19,Python,Regression,Medium,53,36,34,28,68,42,5,Visual,More Videos
121,19,Data Science,Sorting Algorithms,Medium,27,26,37,14,10,51,3,Kinesthetic,More Hands-On Exercises
122,21,Python,Sorting Algorithms,Easy,13,11,49,5,2,29,4,Kinesthetic,More Hands-On Exercises
123,21,C++,Regression,Medium,32,24,13,9,47,23,2,Visual,More Videos
124,24,C++,Loops,Medium,6,59,48,17,70,21,5,Reading/Writing,More Articles
125,23,Data Science,Loops,Medium,45,56,14,12,95,47,5,Reading/Writing,More Articles
126,18,C++,Regression,Medium,13,9,25,6,28,99,4,Kinesthetic,More Hands-On Exercises
127,22,Java,Sorting Algorithms,Medium,9,14,36,18,44,77,5,Kinesthetic,More Hands-On Exercises
128,25,Python,Sorting Algorithms,Hard,9,10,0,26,0,61,2,Reading/Writing,More Articles
129,25,Java,Data Visualization,Hard,17,5,32,13,31,75,4,Kinesthetic,More Hands-On Exercises
130,20,C++,OOP,Medium,11,53,12,13,90,35,1,Reading/Writing,More Articles
131,25,C++,Regression,Easy,1,50,13,14,66,89,1,Reading/Writing,More Articles
132,21,Data Science,Loops,Easy,24,3,54,30,13,74,1,Kinesthetic,More Hands-On Exercises
133,21,Data Science,Loops,Medium,50,7,48,14,56,44,5,Visual,More Videos
134,20,Data Science,Regression,Hard,21,55,54,19,78,52,4,Reading/Writing,More Articles
135,19,Java,Regression,Easy,18,24,29,28,30,12,2,Kinesthetic,More Hands-On Exercises
136,18,Machine Learning,Loops,Hard,16,6,55,21,81,87,1,Kinesthetic,More Hands-On Exercises
137,25,Data Science,OOP,Easy,9,11,18,12,22,15,2,Kinesthetic,More Hands-On Exercises
138,23,Python,OOP,Easy,26,48,36,13,65,38,3,Reading/Writing,More Articles
139,19,Java,Loops,Medium,44,36,57,27,35,100,3,Kinesthetic,More Hands-On Exercises
140,20,Python,Loops,Easy,28,22,40,10,84,54,3,Kinesthetic,More Hands-On Exercises
141,25,Data Science,Regression,Medium,58,15,36,28,51,57,4,Visual,More Videos
142,22,Machine Learning,Sorting Algorithms,Hard,53,16,14,22,4,42,1,Visual,More Videos
143,25,Data Science,OOP,Medium,34,31,39,17,86,14,1,Kinesthetic,More Hands-On Exercises
144,19,Machine Learning,Sorting Algorithms,Easy,13,11,35,14,29,32,5,Kinesthetic,More Hands-On Exercises
145,24,C++,Sorting Algorithms,Medium,20,8,23,28,51,87,1,Kinesthetic,More Hands-On Exercises
146,23,Java,OOP,Hard,43,28,47,22,44,94,3,Kinesthetic,More Hands-On Exercises
147,24,C++,Data Visualization,Medium,48,9,24,24,37,45,3,Visual,More Videos
148,19,Data Science,Sorting Algorithms,Hard,10,6,20,14,18,38,2,Kinesthetic,More Hands-On Exercises
149,19,Data Science,Regression,Hard,23,51,2,26,65,76,2,Reading/Writing,More Articles
150,24,Data Science,Regression,Hard,32,25,1,10,62,65,1,Visual,More Videos
151,23,Machine Learning,OOP,Hard,28,21,21,12,68,26,3,Visual,More Videos
152,21,Java,OOP,Easy,33,6,59,14,23,92,1,Kinesthetic,More Hands-On Exercises
153,20,Data Science,Loops,Easy,44,16,1,6,36,61,1,Visual,More Videos
154,23,C++,Regression,Hard,23,44,39,30,73,27,1,Reading/Writing,More Articles
155,21,Machine Learning,Regression,Easy,47,40,52,29,42,16,4,Kinesthetic,More Hands-On Exercises
156,22,C++,Regression,Medium,10,55,38,18,13,96,2,Reading/Writing,More Articles
157,19,Data Science,Loops,Medium,53,52,46,23,72,23,4,Visual,More Videos
158,21,Python,Data Visualization,Hard,34,28,43,16,86,45,2,Kinesthetic,More Hands-On Exercises
159,21,Data Science,OOP,Hard,21,1,31,23,88,70,3,Kinesthetic,More Hands-On Exercises
160,18,Python,Data Visualization,Medium,16,6,50,19,21,31,3,Kinesthetic,More Hands-On Exercises
161,25,C++,Data Visualization,Medium,18,22,3,14,0,87,2,Reading/Writing,More Articles
162,18,C++,Data Visualization,Easy,25,7,48,14,32,32,3,Kinesthetic,More Hands-On Exercises
163,25,C++,Loops,Medium,24,20,60,11,42,76,2,Kinesthetic,More Hands-On Exercises
164,19,Data Science,Data Visualization,Easy,7,6,56,18,40,4,5,Kinesthetic,More Hands-On Exercises
165,18,Python,Loops,Hard,7,28,54,24,74,94,1,Kinesthetic,More Hands-On Exercises
166,22,Python,OOP,Easy,56,22,37,6,28,86,1,Visual,More Videos
167,23,Python,Loops,Easy,8,17,58,27,73,85,3,Kinesthetic,More Hands-On Exercises
168,20,Java,Sorting Algorithms,Medium,12,21,47,17,22,24,4,Kinesthetic,More Hands-On Exercises
169,22,Java,OOP,Easy,11,53,7,17,20,83,1,Reading/Writing,More Articles
170,20,C++,Data Visualization,Medium,26,17,51,30,60,37,4,Kinesthetic,More Hands-On Exercises
171,21,Python,Loops,Hard,47,46,33,21,98,15,4,Visual,More Videos
172,24,Data Science,Sorting Algorithms,Medium,30,38,32,21,17,29,3,Reading/Writing,More Articles
173,20,Machine Learning,Regression,Easy,30,51,24,17,44,45,3,Reading/Writing,More Articles
174,21,C++,OOP,Hard,41,55,2,10,20,7,5,Reading/Writing,More Articles
175,25,Java,Data Visualization,Medium,37,19,35,25,67,84,1,Visual,More Videos
176,19,Java,Regression,Hard,51,52,19,10,48,1,3,Reading/Writing,More Articles
177,21,Python,Sorting Algorithms,Hard,26,15,20,7,43,97,5,Visual,More Videos
178,24,Machine Learning,Data Visualization,Easy,27,48,16,12,11,12,3,Reading/Writing,More Articles
179,19,Java,Data Visualization,Easy,34,4,34,17,33,72,5,Visual,More Videos
180,22,Python,Loops,Easy,6,44,46,16,37,63,4,Kinesthetic,More Hands-On Exercises
181,23,Python,Loops,Easy,29,48,38,11,61,48,5,Reading/Writing,More Articles
182,23,Data Science,Regression,Medium,41,11,45,5,91,75,4,Kinesthetic,More Hands-On Exercises
183,20,Java,Sorting Algorithms,Medium,26,28,28,26,70,55,2,Reading/Writing,More Articles
184,23,Python,Loops,Hard,43,29,19,26,95,60,1,Visual,More Videos
185,20,Machine Learning,OOP,Hard,12,21,7,30,39,15,4,Reading/Writing,More Articles
186,18,C++,Data Visualization,Easy,36,56,23,18,72,58,4,Reading/Writing,More Articles
187,19,Machine Learning,Loops,Medium,59,12,22,7,92,11,2,Visual,More Videos
188,20,Machine Learning,Sorting Algorithms,Medium,12,25,19,26,26,80,3,Reading/Writing,More Articles
189,25,Python,OOP,Easy,8,51,6,6,35,1,4,Reading/Writing,More Articles
190,23,Python,Data Visualization,Hard,59,49,55,8,84,20,4,Visual,More Videos
191,23,Python,OOP,Hard,55,3,5,29,4,24,3,Visual,More Videos
192,20,Machine Learning,Data Visualization,Medium,28,10,12,28,16,44,3,Visual,More Videos
193,25,Python,Data Visualization,Easy,18,28,52,30,27,90,5,Kinesthetic,More Hands-On Exercises
194,23,Python,Data Visualization,Hard,13,43,18,11,85,29,1,Reading/Writing,More Articles
195,19,Machine Learning,Sorting Algorithms,Medium,40,46,2,18,53,3,1,Reading/Writing,More Articles
196,21,Machine Learning,OOP,Medium,36,17,18,23,26,28,3,Visual,More Videos
197,25,Data Science,Data Visualization,Hard,18,60,22,14,61,3,5,Reading/Writing,More Articles
198,25,Python,Loops,Easy,33,42,14,13,89,93,5,Reading/Writing,More Articles
199,19,Java,Sorting Algorithms,Medium,59,43,13,15,3,34,2,Visual,More Videos
200,22,C++,Sorting Algorithms,Hard,12,57,55,14,38,57,3,Reading/Writing,More Articles
201,21,Machine Learning,Sorting Algorithms,Easy,31,5,56,13,10,72,3,Kinesthetic,More Hands-On Exercises
202,19,C++,OOP,Medium,25,39,17,28,6,32,1,Reading/Writing,More Articles
203,24,Python,Loops,Easy,5,2,42,26,33,38,5,Kinesthetic,More Hands-On Exercises
204,21,Java,OOP,Easy,17,9,36,21,90,35,2,Kinesthetic,More Hands-On Exercises
205,19,Python,Data Visualization,Medium,8,50,14,11,72,54,1,Reading/Writing,More Articles
206,25,C++,Sorting Algorithms,Medium,39,23,14,13,100,89,3,Visual,More Videos
207,25,C++,Data Visualization,Medium,30,40,1,25,97,45,5,Reading/Writing,More Articles
208,19,Data Science,OOP,Hard,43,52,13,12,25,35,2,Reading/Writing,More Articles
209,18,Data Science,Regression,Medium,38,30,16,9,98,57,5,Visual,More Videos
210,25,Data Science,OOP,Hard,40,10,6,21,86,53,4,Visual,More Videos
211,25,C++,Regression,Hard,60,23,23,21,26,19,2,Visual,More Videos
212,23,Java,Regression,Medium,14,47,17,6,67,39,4,Reading/Writing,More Articles
213,24,Machine Learning,OOP,Easy,14,16,55,9,12,34,4,Kinesthetic,More Hands-On Exercises
214,21,Java,Loops,Easy,29,40,32,30,84,87,2,Reading/Writing,More Articles
215,21,Python,OOP,Easy,44,25,47,23,17,72,4,Kinesthetic,More Hands-On Exercises
216,21,C++,Data Visualization,Medium,15,44,41,30,65,26,3,Reading/Writing,More Articles
217,24,C++,OOP,Hard,14,19,12,22,30,78,2,Reading/Writing,More Articles
218,22,Machine Learning,OOP,Medium,32,0,19,8,29,40,4,Visual,More Videos
219,21,Machine Learning,Loops,Hard,28,46,45,16,29,51,5,Reading/Writing,More Articles
220,24,Machine Learning,OOP,Hard,27,27,13,28,81,9,4,Visual,More Videos
221,23,Python,Regression,Hard,50,22,17,28,57,78,3,Visual,More Videos
222,25,Data Science,Data Visualization,Easy,30,54,25,22,56,30,4,Reading/Writing,More Articles
223,21,Data Science,Sorting Algorithms,Hard,35,54,6,24,8,25,3,Reading/Writing,More Articles
224,18,Java,OOP,Medium,22,38,30,25,61,88,5,Reading/Writing,More Articles
225,20,Machine Learning,Regression,Hard,18,5,29,13,88,38,3,Kinesthetic,More Hands-On Exercises
226,18,Data Science,Regression,Easy,25,39,12,18,21,71,4,Reading/Writing,More Articles
227,19,Java,Loops,Hard,21,37,2,12,67,3,1,Reading/Writing,More Articles
228,20,Java,Regression,Easy,29,41,34,25,69,1,4,Reading/Writing,More Articles
229,21,Data Science,Regression,Medium,39,18,51,6,15,0,3,Kinesthetic,More Hands-On Exercises
230,21,C++,Regression,Medium,9,35,12,17,74,88,3,Reading/Writing,More Articles
231,20,Data Science,Regression,Hard,59,10,52,20,54,67,1,Visual,More Videos
232,24,Python,Sorting Algorithms,Easy,1,25,5,9,92,69,3,Reading/Writing,More Articles
233,19,Python,Regression,Hard,5,21,37,19,39,84,4,Kinesthetic,More Hands-On Exercises
234,23,Python,Data Visualization,Hard,37,60,27,17,66,34,3,Reading/Writing,More Articles
235,21,Python,Sorting Algorithms,Easy,0,44,0,20,70,90,5,Reading/Writing,More Articles
236,18,Python,Sorting Algorithms,Easy,49,9,56,7,53,57,4,Kinesthetic,More Hands-On Exercises
237,22,Machine Learning,Loops,Hard,38,45,13,25,15,63,4,Reading/Writing,More Articles
238,21,Machine Learning,Loops,Easy,20,55,42,29,49,80,5,Reading/Writing,More Articles
239,25,Python,Data Visualization,Hard,50,16,27,21,8,41,2,Visual,More Videos
240,23,Python,Data Visualization,Easy,41,40,0,18,61,35,1,Visual,More Videos
241,24,Python,Data Visualization,Hard,36,51,8,30,41,23,1,Reading/Writing,More Articles
242,21,C++,Loops,Hard,5,25,52,7,40,75,3,Kinesthetic,More Hands-On Exercises
243,20,Java,Data Visualization,Easy,41,22,35,6,60,57,4,Visual,More Videos
244,19,Data Science,Regression,Medium,55,30,6,24,12,70,1,Visual,More Videos
245,24,Data Science,Sorting Algorithms,Medium,11,37,16,20,18,12,1,Reading/Writing,More Articles
246,20,C++,Data Visualization,Hard,46,26,25,24,87,51,1,Visual,More Videos
247,24,Python,OOP,Medium,45,58,32,23,35,59,1,Reading/Writing,More Articles
248,23,Python,Sorting Algorithms,Hard,17,3,46,9,42,75,5,Kinesthetic,More Hands-On Exercises
249,25,Java,Data Visualization,Hard,16,50,57,30,83,62,2,Kinesthetic,More Hands-On Exercises
250,22,C++,Sorting Algorithms,Medium,25,1,45,17,52,1,3,Kinesthetic,More Hands-On Exercises
251,24,Java,Sorting Algorithms,Medium,1,41,26,14,10,91,1,Reading/Writing,More Articles
252,18,C++,Regression,Hard,46,48,59,11,76,1,3,Kinesthetic,More Hands-On Exercises
253,25,Machine Learning,Data Visualization,Easy,34,26,4,23,80,67,3,Visual,More Videos
254,24,Java,OOP,Hard,9,15,39,12,24,69,5,Kinesthetic,More Hands-On Exercises
255,22,C++,OOP,Medium,39,9,57,18,67,64,4,Kinesthetic,More Hands-On Exercises
256,20,Python,Sorting Algorithms,Hard,25,43,41,23,0,80,5,Reading/Writing,More Articles
257,18,Java,Sorting Algorithms,Medium,33,50,23,12,33,23,5,Reading/Writing,More Articles
258,22,Java,Sorting Algorithms,Hard,41,29,40,21,42,34,4,Visual,More Videos
259,25,Java,OOP,Hard,40,36,9,11,15,54,5,Visual,More Videos
260,20,Python,Loops,Medium,8,34,36,25,1,80,5,Kinesthetic,More Hands-On Exercises
261,21,Python,OOP,Easy,21,12,47,16,67,50,2,Kinesthetic,More Hands-On Exercises
262,25,Java,Loops,Hard,28,45,13,20,65,88,4,Reading/Writing,More Articles
263,19,Machine Learning,Data Visualization,Easy,44,13,29,24,94,17,4,Visual,More Videos
264,21,Java,OOP,Hard,51,58,59,17,71,36,5,Kinesthetic,More Hands-On Exercises
265,23,Machine Learning,OOP,Medium,31,14,39,25,25,66,4,Kinesthetic,More Hands-On Exercises
266,20,Python,OOP,Easy,50,23,54,25,22,11,4,Kinesthetic,More Hands-On Exercises
267,19,Python,Regression,Easy,60,29,46,17,16,59,4,Visual,More Videos
268,20,Machine Learning,Data Visualization,Easy,43,14,20,9,97,32,5,Visual,More Videos
269,19,Python,Regression,Medium,31,27,39,16,30,3,3,Kinesthetic,More Hands-On Exercises
270,25,Machine Learning,OOP,Medium,2,51,24,14,0,58,1,Reading/Writing,More Articles
271,22,Java,OOP,Easy,53,13,25,9,26,90,1,Visual,More Videos
272,21,C++,OOP,Hard,29,18,44,7,45,35,5,Kinesthetic,More Hands-On Exercises
273,18,C++,Regression,Medium,12,8,33,8,5,72,1,Kinesthetic,More Hands-On Exercises
274,18,Machine Learning,Regression,Easy,18,3,15,9,24,71,5,Visual,More Videos
275,25,C++,Loops,Hard,54,56,55,28,71,26,4,Reading/Writing,More Articles
276,20,C++,Regression,Easy,44,34,58,17,43,23,2,Kinesthetic,More Hands-On Exercises
277,18,C++,Loops,Hard,52,1,41,17,56,94,4,Visual,More Videos
278,25,Java,OOP,Hard,40,43,41,26,42,51,2,Reading/Writing,More Articles
279,21,Java,Sorting Algorithms,Hard,49,33,39,7,94,23,4,Visual,More Videos
280,25,C++,Regression,Easy,24,7,60,28,64,42,4,Kinesthetic,More Hands-On Exercises
281,19,Java,Regression,Medium,41,53,48,18,85,2,1,Reading/Writing,More Articles
282,21,Machine Learning,OOP,Hard,15,25,1,9,78,31,3,Reading/Writing,More Articles
283,25,Java,Data Visualization,Hard,22,17,29,12,87,60,4,Kinesthetic,More Hands-On Exercises
284,25,Java,Sorting Algorithms,Hard,60,38,56,22,57,45,1,Visual,More Videos
285,20,Java,Loops,Easy,2,29,39,27,28,9,5,Kinesthetic,More Hands-On Exercises
286,18,Python,Sorting Algorithms,Hard,8,4,26,11,66,42,3,Kinesthetic,More Hands-On Exercises
287,22,C++,OOP,Medium,31,56,40,14,32,28,4,Reading/Writing,More Articles
288,20,Java,Data Visualization,Easy,46,34,7,7,30,52,2,Visual,More Videos
289,22,Java,OOP,Easy,3,19,5,14,37,12,4,Reading/Writing,More Articles
290,19,Data Science,Sorting Algorithms,Easy,24,5,14,16,15,6,4,Visual,More Videos
291,18,Data Science,Regression,Easy,20,45,22,9,51,8,1,Reading/Writing,More Articles
292,19,C++,Sorting Algorithms,Easy,33,37,38,20,24,93,1,Kinesthetic,More Hands-On Exercises
293,18,Python,Sorting Algorithms,Hard,17,46,28,19,30,21,1,Reading/Writing,More Articles
294,21,Data Science,Loops,Hard,10,5,22,15,22,27,3,Kinesthetic,More Hands-On Exercises
295,18,Python,Regression,Easy,58,44,23,16,3,18,4,Visual,More Videos
296,21,Java,Loops,Hard,46,33,8,28,38,48,5,Visual,More Videos
297,21,Data Science,Data Visualization,Easy,14,1,59,16,1,55,2,Kinesthetic,More Hands-On Exercises
298,25,Machine Learning,Loops,Hard,43,10,2,14,26,33,4,Visual,More Videos
299,24,Python,Sorting Algorithms,Medium,51,23,10,5,68,15,5,Visual,More Videos
300,25,Data Science,Regression,Medium,32,21,11,15,78,63,5,Visual,More Videos
